bom_item_id,owner,cost_scope,description,quantity,unit,minimum_cost,maximum_cost,currency,evidence_class,source_id,source_path,source_sha256,price_checked_on,included_in_module_total,included_in_integrated_total,unknown_reason,double_count_group
rear_carrier_structure_engineering_screen,platform_carrier,carrier_engineering_screen,rear_three_point_carrier_structure_screen_not_quote,1,screen,4300,14000,USD,ENGINEERING_SCREEN_NOT_QUOTE,platform_product_survey,docs/research/SPOT_SPRAY_PLATFORM_PRODUCT_SURVEY_V1.md,38ccf561fff37f64e4f1aed192b06e03196ca13f40734fc876188c3e817c50e5,2026-08-14,false,false,,carrier_screen_not_exact_cost
exact_rear_carrier_cost,platform_carrier,carrier_increment,exact_host_specific_rear_carrier_quote,1,assembly,,,USD,UNRESOLVED_REQUIRED_COST,platform_product_survey,docs/research/SPOT_SPRAY_PLATFORM_PRODUCT_SURVEY_V1.md,38ccf561fff37f64e4f1aed192b06e03196ca13f40734fc876188c3e817c50e5,,false,true,exact_host_material_mass_fabrication_and_quote_absent,host_integration_shared_pending_reconciliation
compute_opportunity_cost,compute_capture,compute_existing_asset,existing_compute_opportunity_and_whole_system_integration_cost,1,system,,,USD,UNRESOLVED_REQUIRED_COST,platform_product_survey,docs/research/SPOT_SPRAY_PLATFORM_PRODUCT_SURVEY_V1.md,38ccf561fff37f64e4f1aed192b06e03196ca13f40734fc876188c3e817c50e5,,false,true,reuse_does_not_prove_zero_opportunity_or_integration_cost,compute_opportunity
existing_RTX3090_incremental_acquisition,compute_capture,compute_existing_asset,existing_RTX3090_reused_incremental_acquisition_only,1,existing_asset,0,0,USD,EXISTING_ASSET_INCREMENTAL_ACQUISITION_ONLY,capture_optimization_contract,configs/deploy/spot_spray_capture_optimization_v2.yaml,f9fd1cbed95118b4606199e9b67b317c07384e2cb063b60a00e5466848f657e9,2026-08-11,false,true,,accelerator_acquisition
exact_host_incremental_cost,host_owner,host_increment,exact_owned_rented_or_acquired_host_increment,1,host,,,USD,UNRESOLVED_REQUIRED_COST,platform_product_survey,docs/research/SPOT_SPRAY_PLATFORM_PRODUCT_SURVEY_V1.md,38ccf561fff37f64e4f1aed192b06e03196ca13f40734fc876188c3e817c50e5,,false,true,exact_host_inventory_and_ownership_scenario_absent,exact_host_increment
intervention_external_cost,intervention_external,intervention_external,nozzle_valve_pressure_tank_and_nonchemical_dry_output_path,1,external_scope,,,USD,UNRESOLVED_REQUIRED_COST,platform_product_survey,docs/research/SPOT_SPRAY_PLATFORM_PRODUCT_SURVEY_V1.md,38ccf561fff37f64e4f1aed192b06e03196ca13f40734fc876188c3e817c50e5,,false,true,intervention_lane_has_not_selected_or_quoted_hardware,intervention_external
physical_acceptance_execution_cost,safety_acceptance,measurement_and_calibration,exact_A_to_E_facility_labor_instrument_and_execution_cost,1,campaign,,,USD,UNRESOLVED_REQUIRED_COST,rig_acceptance_runbook,docs/SPOT_SPRAY_RIG_ACCEPTANCE_RUNBOOK_V1.md,9b73fb34741d8862f27abc4aab30e42268fadb2ad05233d3b201f098fb1acb78,,false,true,facility_labor_and_instrument_availability_not_quoted,physical_acceptance_execution
locking_USB3_IO_and_isolated_trigger_cables,compute_capture,proof_module_core,locking_USB3_IO_and_isolated_trigger_cables,1,allowance,120,250,USD,BUDGETARY_ALLOWANCE,capture_optimization_contract,configs/deploy/spot_spray_capture_optimization_v2.yaml,f9fd1cbed95118b4606199e9b67b317c07384e2cb063b60a00e5466848f657e9,2026-08-11,true,true,,camera_transport_cables
calibration_targets_and_motion_fixture,integration_only,proof_module_core,calibration_targets_and_motion_fixture,1,allowance,150,400,USD,BUDGETARY_ALLOWANCE,capture_optimization_contract,configs/deploy/spot_spray_capture_optimization_v2.yaml,f9fd1cbed95118b4606199e9b67b317c07384e2cb063b60a00e5466848f657e9,2026-08-11,true,true,,calibration_fixture
encoder_real_time_trigger_controller_and_IO,integration_only,proof_module_core,encoder_real_time_trigger_controller_and_IO_shared_interface_allowance,1,allowance,350,900,USD,BUDGETARY_ALLOWANCE,capture_optimization_contract,configs/deploy/spot_spray_capture_optimization_v2.yaml,f9fd1cbed95118b4606199e9b67b317c07384e2cb063b60a00e5466848f657e9,2026-08-11,true,true,,realtime_control_interface
